"Section","Section Hierarchy","Title","Preconditions","Steps","Expected Result","Priority"
"보안 테스트","","","","","","Highest"
"인증/인가","보안 테스트 > 인증/인가","","","","","High"
"인증/인가","보안 테스트 > 인증/인가","비로그인 사용자 페이지 직접 접근 차단","1. 로그아웃 상태
2. 인증 필요 페이지 URL 확보 (예: /admin/users)","1. 브라우저 주소창에 인증 필요 페이지 URL 직접 입력
2. Enter 키 입력","1. 로그인 페이지로 리다이렉트
2. '로그인이 필요합니다' 메시지 표시
3. 원래 접근하려던 페이지 정보 유지 (로그인 후 복귀용)","High"
"인증/인가","보안 테스트 > 인증/인가","권한 없는 사용자 관리자 기능 접근 차단","1. 일반 사용자 계정으로 로그인
2. 관리자 전용 페이지 URL 확보 (예: /admin/settings)","1. 브라우저 주소창에 관리자 페이지 URL 직접 입력
2. Enter 키 입력","1. 403 Forbidden 에러 표시 또는 권한 에러 페이지
2. '접근 권한이 없습니다' 메시지 표시
3. 관리자 기능 실행 불가","High"
"인증/인가","보안 테스트 > 인증/인가","세션 만료 후 재인증 요구","1. 로그인 상태
2. 세션 타임아웃 설정 확인 (예: 30분)","1. 로그인 후 세션 타임아웃 시간 경과 대기 (또는 개발자도구로 세션 삭제)
2. 페이지 새로고침 또는 API 호출","1. 로그인 페이지로 리다이렉트
2. '세션이 만료되었습니다. 다시 로그인해주세요' 메시지 표시","High"
"인증/인가","보안 테스트 > 인증/인가","동시 로그인 처리 확인","1. 테스트 계정 준비
2. 브라우저 2개 준비 (Chrome, Firefox 등)","1. 브라우저 A에서 로그인
2. 브라우저 B에서 동일 계정으로 로그인
3. 브라우저 A에서 페이지 새로고침","1. 정책에 따라:
   - 기존 세션 유지: 두 브라우저 모두 로그인 상태
   - 중복 로그인 차단: 브라우저 A 자동 로그아웃, '다른 기기에서 로그인되었습니다' 메시지","Medium"
"데이터 접근","보안 테스트 > 데이터 접근","","","","","High"
"데이터 접근","보안 테스트 > 데이터 접근","URL 파라미터 조작으로 타인 데이터 접근 차단","1. 사용자 A 계정으로 로그인
2. 본인 데이터 상세 페이지 접근 (예: /users/123/profile)
3. 타인 데이터 ID 확보 (예: 456)","1. URL의 ID 파라미터를 타인 ID로 변경 (예: /users/456/profile)
2. Enter 키 입력","1. 403 Forbidden 에러 또는 권한 에러
2. '접근 권한이 없습니다' 메시지 표시
3. 타인 데이터 미노출","Highest"
"데이터 접근","보안 테스트 > 데이터 접근","타 조직 데이터 조회 차단","1. A회사 소속 계정으로 로그인
2. 회사 선택 드롭다운 또는 필터 존재","1. 회사 선택 드롭다운에서 B회사 선택 시도
2. 또는 URL 파라미터 조작 (예: ?company_id=2)
3. 검색 버튼 클릭","1. B회사 데이터 조회 불가
2. A회사 데이터만 표시 또는 에러 메시지
3. '조회 권한이 없습니다' 메시지 표시","Highest"
"데이터 접근","보안 테스트 > 데이터 접근","API 직접 호출로 타인 데이터 접근 차단","1. 사용자 A 계정으로 로그인
2. 개발자도구 > Network 탭에서 API URL 확인
3. 타인 데이터 ID 확보","1. 개발자도구 Console에서 fetch API 직접 호출
2. 타인 ID로 API 요청 (예: fetch('/api/users/456'))","1. 403 Forbidden 응답
2. 에러 메시지 반환 (데이터 미포함)
3. 서버 로그에 비정상 접근 기록","High"
